from,to,date_from,date_to,place_from,y_from,x_from,place_to,x_to,y_to
"Charles IX, King of France",Queen Elizabeth I,15700522,15700522,Ploermel,47.9325,-2.3961,Greenwich,-0,51.48
John Brigantyne,"Sir William Cecil, Lord Burghley",15680202,15680202,Vienna,48.2,16.36666667,Court of St. James,-0.1375,51.50472222
Richard Johnson,John Johnson,15461109,15461109,London,51.5155,0.0922,NA,NA,NA
Privy Council,Adam Loftus,15830729,15830729,Greenwich,51.48,-0,Dublin,-6.259722222,53.34777778
Feltmakers,Queen Elizabeth I,15790101,15791231,NA,NA,NA,Greenwich,-0,51.48
Michael Stanhope,Sir Michael Hicks (Hickes),15940101,16031231,NA,NA,NA,NA,NA,NA
Simon Mountfort,"Thomas Cromwell, Earl of Essex",15310731,15310731,Kyngyshurst,52.488,-1.748,Hampton Court,-0.3375,51.40333333
"Sir Robert Cecil, Earl of Salisbury",Robert Bowes,15970607,15970607,Greenwich,51.48,-0,Edinburgh,-3.188888889,55.95305556
Robert Browne of Walcot,John Hanby,15471022,15581022,Walcotte,NA,NA,NA,NA,NA
William Darrell,Sir Christopher Hatton,15790220,15790220,Fleet,51.51611111,-0.105,NA,NA,NA
Francois Van der Delft,"Nicholas de Perrenot, Sieur de Granvelle",15460125,15460125,London,51.5155,0.0922,NA,NA,NA
Queen Elizabeth I,Philip Count of Hohenloe,15891028,15891028,NA,NA,NA,NA,NA,NA
Anthony Sentleger,Privy Council,15510106,15510106,NA,NA,NA,Greenwich,-0,51.48
Robert Anselm,Mutio de Angelis,15950430,15950430,London,51.5155,0.0922,NA,NA,NA
James Lawson,"Thomas Cromwell, Earl of Essex",15380311,15380311,Newcastle-upon-Tyne,54.97222222,-1.608333333,Hampton Court,-0.3375,51.40333333
"Jean de la Fin, Seigneur de Beauvoir la Nocle","Sir William Cecil, Lord Burghley",15920101,15920101,London,51.5155,0.0922,Court of St. James,-0.1375,51.50472222
Sir William Fitzwilliam,Privy Council,15740101,15741231,NA,NA,NA,Greenwich,-0,51.48
Council of The North,Queen Katherine Parr,15440803,15440803,NA,NA,NA,NA,NA,NA
"Episcopus Seguntinus, Bishop of Siguenza",Henry VIII,15190630,15190630,NA,NA,NA,Greenwich,-0,51.48
P. Beutterich,Sir Francis Walsingham,15841120,15841120,Heidelberg,49.41666667,8.716666667,Paris,2.3508,48.8567
Stephen Vaughan,"Thomas Cromwell, Earl of Essex",15331101,15331101,NA,NA,NA,Hampton Court,-0.3375,51.40333333
Town of Antwerp,"Thomas Cromwell, Earl of Essex",15370814,15370814,Antwerp,51.21666667,4.4,Hampton Court,-0.3375,51.40333333
Sir Francis Walsingham,Thomas Sackford,15800526,15800526,The Court,NA,NA,NA,NA,NA
"Tobias Matthew, Archbishop of York","Sir William Cecil, Lord Burghley",15920101,15921231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Thomas Paget, Lord Paget","Sir William Cecil, Lord Burghley",15810101,15811231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Sir William Fitzwilliam,Queen Elizabeth I,15680414,15680414,Carrickfergus,54.716,-5.809,Greenwich,-0,51.48
Sir Walter Mildmay,The bailiffs of co. Merioneth,15871216,15880521,NA,NA,NA,NA,NA,NA
"Holy Roman Emperor Charles V, (King Charles I of Spain)","Inigo Mendoza, Bishop of Burgos",15270729,15270729,Valladolid,41.63333333,-4.716666667,NA,NA,NA
"John Alcok, Mayor, and the Corporation of Canterbury","Thomas Cromwell, Earl of Essex",15380423,15380423,Canterbury,51.275,1.087,Hampton Court,-0.3375,51.40333333
Sir Thomas Tempest,"Thomas Cromwell, Earl of Essex",15370627,15370627,NA,NA,NA,Hampton Court,-0.3375,51.40333333
"Anne, Lady Hungerford",Jane Dormer Duchess of Feria,15700320,15700320,Hatherop,51.745,-1.776,Safra,-6.416666667,38.41666667
Richard Clough,Sir Thomas Gresham,15590102,15590102,NA,NA,NA,Antwerp,4.4,51.21666667
"Thomas Jenyson, Auditor","Sir William Cecil, Lord Burghley",15750203,15750203,Dublin Castle,53.34288611,-6.267427778,Court of St. James,-0.1375,51.50472222
"William Paulet, Marquess of Winchester",Thomas Fanshawe,15650526,15650526,NA,NA,NA,NA,NA,NA
Sir Henry Unton,"Sir William Cecil, Lord Burghley",15920416,15920416,Fontaine-le-Bourg,49.5633,1.1639,Court of St. James,-0.1375,51.50472222
Sir Thomas More,Desiderius Erasmus,15171105,15171105,Calais,50.94805556,1.856388889,Louvain,4.7,50.88333333
Winifred Dowager Marchioness of Winchester,"Sir William Cecil, Lord Burghley",15860616,15860616,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Sir Robert Cecil, Earl of Salisbury",King James VI,16011004,16011004,NA,NA,NA,Falkland Palace,-3.206388889,56.25388889
George Fremyn (Fremin),William Davison,15790109,15790109,Antwerp,51.21666667,4.4,Antwerp,4.4,51.21666667
George Beverley,"Sir William Cecil, Lord Burghley",15810408,15810408,Chester,53.1903,-2.8916,Court of St. James,-0.1375,51.50472222
"Jean de la Fin, Seigneur de Beauvoir la Nocle","Sir William Cecil, Lord Burghley",15900928,15900928,Hackney,51.55,-0.058333333,Court of St. James,-0.1375,51.50472222
Sir William Pelham,"Sir William Cecil, Lord Burghley",15870917,15870917,Hague,52.08333333,4.316666667,Court of St. James,-0.1375,51.50472222
Balthazar de Moucheron,"Sir William Cecil, Lord Burghley",15970117,15970127,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Robert Wingfield,Cardinal Thomas Wolsey,15290101,15291231,NA,NA,NA,Westminster,-0.1333,51.4995
King Philip II of Spain,States of Brabant,15980506,15991217,NA,NA,NA,NA,NA,NA
"Henry IV, King of France","Sir William Cecil, Lord Burghley",15900101,15901231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"James Hamilton, 3rd Earl of Arran","James Stewart, 1st Earl of Moray",15591215,15591215,NA,NA,NA,Dumfries,-3.603,55.07
"Robert Dudley, Earl of Leicester",Queen Elizabeth I,15871121,15871121,NA,NA,NA,Greenwich,-0,51.48
George Gerland and George Pajysh,"Sir William Cecil, Lord Burghley",15630814,15630814,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Richard Fox (Foxe), Bishop of Winchester",Cardinal Thomas Wolsey,15130516,15130516,Hampton Court,51.40333333,-0.3375,Westminster,-0.1333,51.4995
N. Stopio,John Mason,15610809,15610809,Venice,45.4375,12.33583333,Brussels,4.35,50.85
Sir Edward Coke,"Sir Robert Cecil, Earl of Salisbury",16020827,16020827,NA,NA,NA,Greenwich,-0,51.48
Nicholas White,"Sir William Cecil, Lord Burghley",15881231,15881231,Leixlip,53.36426944,-6.488069444,Court of St. James,-0.1375,51.50472222
Peter Osborne,"Sir William Cecil, Lord Burghley",15840101,15841231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Privy Council,"Ralph Eure, Baron Eure",16020720,16020720,NA,NA,NA,NA,NA,NA
"Henry III, King of France",Queen Elizabeth I,15861005,15861015,Saint-Germain-en-Laye,48.8989,2.0938,Greenwich,-0,51.48
"William Eure, 2nd Baron Eure","Edward Seymour, Duke of Somerset, Lord Protector",15480212,15480212,Wootton,53.0033,-1.8442,NA,NA,NA
Sir William Fitzwilliam,Privy Council,15880814,15880814,Dublin,53.34777778,-6.259722222,Greenwich,-0,51.48
Inhabitants of Henley in Arden,Henry VIII,15460101,15461231,Henley in Arden,52.291,-1.778,Greenwich,-0,51.48
University of Oxford,"Thomas Cromwell, Earl of Essex",15350802,15350802,Oxford,51.75194444,-1.257777778,Hampton Court,-0.3375,51.40333333
Laird of Montquhany,"Edward Seymour, Duke of Somerset, Lord Protector",15471218,15471218,Montquhany,56.37888889,-3.058194444,NA,NA,NA
Peter Vannes,Cardinal Thomas Wolsey,15280101,15281231,NA,NA,NA,Westminster,-0.1333,51.4995
"James Hamilton, 3rd Earl of Arran",Sir James Croft,15591220,15591220,Kinghorn,56.07,-3.17,Berwick,-2.007,55.771
"Henry Brooke, Baron Cobham","Sir Robert Cecil, Earl of Salisbury",15990731,15990731,NA,NA,NA,Greenwich,-0,51.48
Colonel Verdugo,"Charles, Count of Mansfeldt",15881001,15881011,Venlo,NA,NA,NA,NA,NA
"Juan de Silva, Count of Cifuentes","Holy Roman Emperor Charles V, (King Charles I of Spain)",15360816,15360816,Rome,41.9,12.5,Brussels,4.35,50.85
Privy Council,King Philip II of Spain,15560916,15560916,Croydon,51.3727,-0.1099,NA,NA,NA
The Burgesses of Brussels,Estates General,15771226,15771226,NA,NA,NA,Hague,4.316666667,52.08333333
"Maurice of Nassau, Prince of Orange",King James VI,16030212,16030222,NA,NA,NA,Falkland Palace,-3.206388889,56.25388889
"George Carew, Earl of Totnes","Sir Robert Cecil, Earl of Salisbury",15970101,16101231,NA,NA,NA,Greenwich,-0,51.48
Sir Thomas Morgan,"Sir William Cecil, Lord Burghley",15911113,15911113,Bergen op Zoom,51.5,4.3,Court of St. James,-0.1375,51.50472222
Sir William Fitzwilliam,"Sir William Cecil, Lord Burghley",15930324,15930324,Dublin Castle,53.34288611,-6.267427778,Court of St. James,-0.1375,51.50472222
"Edward Stanley, Earl of Derby",Henry VIII,15361101,15361101,NA,NA,NA,Greenwich,-0,51.48
Richard Cole,"Charles Howard, Baron Howard of Effingham, Earl of Nottingham",15920101,15921231,NA,NA,NA,NA,NA,NA
N. Stopio,"Sir William Cecil, Lord Burghley",15681130,15681130,Venice,45.4375,12.33583333,Court of St. James,-0.1375,51.50472222
Anthony Paulet,"Sir Robert Cecil, Earl of Salisbury",15971104,15971104,NA,NA,NA,Greenwich,-0,51.48
John Scory,Privy Council,15840628,15840628,NA,NA,NA,Greenwich,-0,51.48
"Arthur Grey, Baron Grey of Wilton",Sir Francis Walsingham,15820101,15821231,Philipstown,53.295,-7.291944444,Paris,2.3508,48.8567
"Sir William Cecil, Lord Burghley",Nicholas White,15820911,15820911,NA,NA,NA,Leixlip,-6.488069444,53.36426944
Sir Richard Wingfield,Cardinal Thomas Wolsey,15210713,15210713,Antwerp,51.21666667,4.4,Westminster,-0.1333,51.4995
Lord General Sir John Norreys,"John Elliott or John Marshall, Sheriffs of Dublin",15960125,15960125,Dublin,53.34777778,-6.259722222,NA,NA,NA
Richard Carnsew,Richard Goodall,16020528,16020528,NA,NA,NA,NA,NA,NA
Louise of Savoy,Cardinal Thomas Wolsey,15250607,15250607,Lyons,45.76,4.84,Westminster,-0.1333,51.4995
Sir John Perrott,Privy Council,15850430,15850430,Dublin Castle,53.34288611,-6.267427778,Greenwich,-0,51.48
Charles Eggarton (Egerton),Sir William Fitzwilliam,15890101,15890131,Knockfergus,54.737,-5.849,Dublin Castle,-6.267427778,53.34288611
Thomas Kerr of Feriehurst,"Sir William Cecil, Lord Burghley",15700223,15700227,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Christopher Parkins,"Sir Robert Cecil, Earl of Salisbury",15931122,15931122,Harrow,51.56549722,-0.332716667,Greenwich,-0,51.48
"Thomas Howard,2nd Duke of Norfolk",Cardinal Thomas Wolsey,15231008,15231008,Newcastle-upon-Tyne,54.97222222,-1.608333333,Westminster,-0.1333,51.4995
"Thomas Butler, earl of Ormond",Henry Sherwood,16011210,16011210,Knockfergus,54.737,-5.849,NA,NA,NA
Sir Richard Wingfield,Cardinal Thomas Wolsey,15170205,15170205,Calais,50.94805556,1.856388889,Westminster,-0.1333,51.4995
"James Eccarsall, Constable of Enniskillen",Sir William Russell,15940608,15940608,Castle of Enniskillen,54.346,-7.644,Camp at Tullagh,-6.7369,52.8003
Sir Francis Stafford,"Sir Robert Cecil, Earl of Salisbury",16020319,16020319,Newry,54.176,-6.349,Greenwich,-0,51.48
Anthony Wardman,"Robert Devereux, Earl of Essex",15990110,15990110,York,53.95833333,-1.080277778,Cambridge,0.119,52.205
Thomas Eynns,"Sir William Cecil, Lord Burghley",15700216,15700216,York,53.95833333,-1.080277778,Court of St. James,-0.1375,51.50472222
Robert Leeth,Privy Council,15711101,15711130,NA,NA,NA,Greenwich,-0,51.48
"Sir Thomas Radcliffe, earl of Sussex","Sir William Cecil, Lord Burghley",15700504,15700504,Berwick,55.771,-2.007,Court of St. James,-0.1375,51.50472222
Henry Cobham,Sir Thomas Chaloner (Challoner),15630909,15630909,Windsor,51.4791,-0.6095,Madrid,-3.716666667,40.38333333
Sir Henry Sidney,Commissioners,15740101,15741231,NA,NA,NA,NA,NA,NA
"Edmund Audley, Bishop of Salisbury",Nicholas Pole,15130301,15130301,NA,NA,NA,NA,NA,NA
"Margaret Tudor, Queen consort of Scotland","Thomas Howard,2nd Duke of Norfolk",15231110,15231110,NA,NA,NA,Newcastle-upon-Tyne,-1.608333333,54.97222222
"William Saxey, Chief Justice of Munster","Sir Robert Cecil, Earl of Salisbury",15981205,15981205,NA,NA,NA,Greenwich,-0,51.48
Sir Richard Southwell,"Thomas Cromwell, Earl of Essex",15361202,15361202,NA,NA,NA,Hampton Court,-0.3375,51.40333333
"Anthony Bridgeman (of Michell Deane, in the county of Gloucester)",Sir Francis Walsingham,15890210,15890210,NA,NA,NA,Paris,2.3508,48.8567
"Juan Fernandez Manrique, Marquis of Aguilar","Holy Roman Emperor Charles V, (King Charles I of Spain)",15411114,15411114,Rome,41.9,12.5,Brussels,4.35,50.85
William Herle,Sir Francis Walsingham,15820927,15820927,Antwerp,51.21666667,4.4,Paris,2.3508,48.8567
"Henry Percy, 9th Earl of Northumberland",Sir Thomas Heneage,15940521,15940521,NA,NA,NA,NA,NA,NA
Sir William Fitzwilliam,"Sir William Cecil, Lord Burghley",15720707,15720707,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Edward Stanley, Earl of Derby",Henry VIII,15330810,15330810,NA,NA,NA,Greenwich,-0,51.48
"William FitzWilliam, 1st Earl of Southampton","Arthur Plantagenet, Lord Lisle",15370526,15370526,York Place,51.50444444,-0.125555556,Calais,1.856388889,50.94805556
"Robert Devereux, Earl of Essex","Sir Robert Cecil, Earl of Salisbury",15941101,15941130,NA,NA,NA,Greenwich,-0,51.48
"George Gordon, 4th Earl of Huntly","Thomas Manners, Earl of Rutland",15420902,15420902,Kelso,55.59851111,-2.433569444,Alnwick,-1.7069,55.4134
Sir Warham St Leger (Sentleger),Privy Council,15991225,15991225,Cork,51.89722222,-8.47,Greenwich,-0,51.48
Richard Pace,Cardinal Thomas Wolsey,15160205,15160205,NA,NA,NA,Westminster,-0.1333,51.4995
William Browne,"Sir William Cecil, Lord Burghley",15900714,15900714,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
James V,Mary Queen Regent of Flanders,15330101,15331231,NA,NA,NA,NA,NA,NA
"Thomas Sackville, Baron Buckhurst, Earl of Dorset","Sir Robert Cecil, Earl of Salisbury",16030214,16030214,NA,NA,NA,Greenwich,-0,51.48
Mr. William Lambard,"Sir William Cecil, Lord Burghley",15870101,15871231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
The Admiral Coligny,"Sir William Cecil, Lord Burghley",15680730,15680730,Noyers,47.6975,3.9947,Court of St. James,-0.1375,51.50472222
Audley Danett,Lord General Sir John Norreys,15820717,15820717,Bruges,51.21666667,3.233333333,Camp at Crozon fort,-4.4875,48.24583333
Launcelot Colyns,Cardinal Thomas Wolsey,15151105,15151105,Rome,41.9,12.5,Westminster,-0.1333,51.4995
"Thomas Cromwell, Earl of Essex",Sir Thomas Wyatt (the elder),15230301,15420301,Hampton Court,51.40333333,-0.3375,Brussels,4.35,50.85
"Thomas Cromwell, Earl of Essex",Sir Thomas Wyatt (the elder),15230101,15421231,NA,NA,NA,Brussels,4.35,50.85
Chancellor of Sweden Nicolaus Guldenstern,"Sir William Cecil, Lord Burghley",15610916,15610916,London,51.5155,0.0922,Court of St. James,-0.1375,51.50472222
Roger Aston,Robert Bowes,15941129,15941129,Edinburgh,55.95305556,-3.188888889,Edinburgh,-3.188888889,55.95305556
"Thomas Hamling, Mayor of Drogheda","Sir Robert Cecil, Earl of Salisbury",15971025,15971025,Drogheda,53.71388889,-6.350277778,Greenwich,-0,51.48
Sir Gregory Casale,Cardinal Thomas Wolsey,15290128,15290128,Rome,41.9,12.5,Westminster,-0.1333,51.4995
"Sir Robert Cecil, Earl of Salisbury","Henry FitzGerald, Earl of Kildare",15961001,15961031,London,51.5155,0.0922,NA,NA,NA
"Ambrose Dudley, Earl of Warwick","Robert Dudley, Earl of Leicester",15621216,15621216,Havre de Grace,49.48333333,0.1,Flushing,3.566666667,51.45
Henry VIII,Nicholas Hawkins,15330706,15330706,NA,NA,NA,NA,NA,NA
"Sir William Cecil, Lord Burghley",William Davison,15861110,15861110,NA,NA,NA,Antwerp,4.4,51.21666667
Sir Edmund Bedyngfeld,"Thomas Cromwell, Earl of Essex",15351231,15351231,Kymbalton,52.2964,-0.3884,Hampton Court,-0.3375,51.40333333
"Leonardo Loredan, Doge of Venice",Ambassador at Rome,15091002,15091002,Venice,45.4375,12.33583333,NA,NA,NA
Queen Elizabeth I,Estates General,15910516,15910516,Theobalds,51.68888889,-0.056111111,Hague,4.316666667,52.08333333
"Arthur Plantagenet, Lord Lisle",Seneschal of Boulonnais,15340613,15340613,Calais,50.94805556,1.856388889,NA,NA,NA
Sir Amias Paulet,"Sir William Cecil, Lord Burghley",15781229,15781229,Paris,48.8567,2.3508,Court of St. James,-0.1375,51.50472222
Henry Phillips,Christ. Joy,15380117,15380117,Louvain,50.88333333,4.7,NA,NA,NA
Adam Loftus,"Sir Robert Cecil, Earl of Salisbury",16001117,16001117,Dublin,53.34777778,-6.259722222,Greenwich,-0,51.48
"Dorothy Stafford, Lady Stafford",Sir Michael Hicks (Hickes),15730101,15981231,NA,NA,NA,NA,NA,NA
Cardinal Thomas Wolsey,"Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)",15221101,15221130,Westminster,51.4995,-0.1333,Morpeth,-1.678,55.163
Queen Elizabeth I,"Peregrine Bertie, Baron Willoughby of Eresby",15890108,15890108,NA,NA,NA,Hague,4.316666667,52.08333333
Lord General Sir John Norreys,Geoffrey Fenton,15970428,15970428,Dundalk,54.009,-6.4049,Dublin,-6.259722222,53.34777778
Spanish Commissioners,English Commissioners,16000528,16000607,NA,NA,NA,NA,NA,NA
"Hugh O'Neill, Earl of Tyrone",King Philip II of Spain,15970101,15971231,NA,NA,NA,NA,NA,NA
William Stanton,Sir Walter Mildmay,15730329,15730329,NA,NA,NA,NA,NA,NA
G. Fetyplace,William Darrell,15610101,15891001,London,51.5155,0.0922,Fleet,-0.105,51.51611111
Richard Taverner,"Matthew Parker, Archbishop of Canterbury",15460121,15460121,Hampton Court,51.40333333,-0.3375,NA,NA,NA
Bertrand de Salignac de la Mothe Fenelon,"Sir William Cecil, Lord Burghley",15710909,15710909,London,51.5155,0.0922,Court of St. James,-0.1375,51.50472222
Thomas Hesketh,"Sir Robert Cecil, Earl of Salisbury",16020315,16020315,NA,NA,NA,Greenwich,-0,51.48
E. Lady Savage,"Thomas Cromwell, Earl of Essex",15361109,15361109,Finchley,51.599,-0.187,Hampton Court,-0.3375,51.40333333
"Holy Roman Emperor Charles V, (King Charles I of Spain)","Inigo Mendoza, Bishop of Burgos",15280206,15280206,Burgos,42.35,-3.706666667,NA,NA,NA
George Gilpin,"Sir William Cecil, Lord Burghley",15931217,15931217,Hague,52.08333333,4.316666667,Court of St. James,-0.1375,51.50472222
Henry Saunder,"Sir Robert Cecil, Earl of Salisbury",16000901,16000930,NA,NA,NA,Greenwich,-0,51.48
Robert Wingfield,Henry VIII,15271030,15271030,Calais,50.94805556,1.856388889,Greenwich,-0,51.48
Isabel Countess of Rutland,"Sir Robert Cecil, Earl of Salisbury",16010706,16010706,Stepney,51.5152,-0.0462,Greenwich,-0,51.48
"Paul Strange, Mayor of Waterford",Adam Loftus,15971210,15971210,Waterford,52.25666667,-7.129166667,Dublin,-6.259722222,53.34777778
Queen Elizabeth I,"Sir William Cecil, Lord Burghley",15701013,15701013,Windsor Castle,51.48333333,-0.604166667,Court of St. James,-0.1375,51.50472222
Mr. William Kymptom,"Edward Fiennes de Clinton, Earl of Lincoln",15790101,15791231,NA,NA,NA,NA,NA,NA
"Mayor, Bailiffs, and Burgesses of Aberdeen","Sir William Cecil, Lord Burghley",15850101,15851231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Gerald Fitzgerald, earl of Desmond",Sir William Drury,15790720,15790720,White's town,NA,NA,Berwick,-2.007,55.771
"Holy Roman Emperor Charles V, (King Charles I of Spain)",Mary Queen Regent of Flanders,15390215,15390215,Toledo,39.85666667,-4.024444444,NA,NA,NA
Robert Bowes,George Nicholson,15961214,15961214,Edinburgh,55.95305556,-3.188888889,NA,NA,NA
R. Lema&#x00E7;on alias la Fontaine,"Sir Robert Cecil, Earl of Salisbury",15960626,15960707,NA,NA,NA,Greenwich,-0,51.48
Margaret,"Maximilian I, Holy Roman Emperor",15110722,15110722,Antwerp,51.21666667,4.4,NA,NA,NA
"Thomas Sackville, Baron Buckhurst, Earl of Dorset","Sir Robert Cecil, Earl of Salisbury",15990909,15990909,NA,NA,NA,Greenwich,-0,51.48
Thomas Windebank,"Sir Robert Cecil, Earl of Salisbury",16000123,16000123,NA,NA,NA,Greenwich,-0,51.48
John Dyer,John Gamage,15700101,15731231,NA,NA,NA,NA,NA,NA
"James Stewart, 1st Earl of Moray",Sir William Winter (Wynter),15600128,15600128,NA,NA,NA,London,0.0922,51.5155
Sir William Herbert,"Thomas Cromwell, Earl of Essex",15380914,15380914,Newport,51.58333333,-3,Hampton Court,-0.3375,51.40333333
Privy Council,"Charles Brandon, Duke of Suffolk",15430707,15430707,NA,NA,NA,Darlington,-1.5526,54.527
Sir Edmund Uvedale,"Sir William Cecil, Lord Burghley",15950702,15950702,Flushing,51.45,3.566666667,Court of St. James,-0.1375,51.50472222
Sir Richard Morysine,Privy Council,15530423,15530423,Brussels,50.85,4.35,Greenwich,-0,51.48
Henry Polsted,"Thomas Cromwell, Earl of Essex",15390810,15390810,The Rolls,51.5153,-0.1106,Hampton Court,-0.3375,51.40333333
Thomas Windebank,"Sir William Cecil, Lord Burghley",15620408,15620408,Paris,48.8567,2.3508,Court of St. James,-0.1375,51.50472222
Queen Elizabeth I,Sir Roger Williams,15910502,15910502,Greenwich,51.48,-0,NA,NA,NA
Desiderius Erasmus,"Richard Sampson, Bishop of Coventry and Lichfield",15180301,15180301,Louvain,50.88333333,4.7,Burgos,-3.706666667,42.35
William Byrd,"Sir William Cecil, Lord Burghley",15810418,15810418,Chester,53.1903,-2.8916,Court of St. James,-0.1375,51.50472222
"Sir William Cecil, Lord Burghley",Vice-Chancellor of Cambridge,15650101,15651231,NA,NA,NA,NA,NA,NA
Mathias Bigundo,Richard Tomson,15910101,15911231,NA,NA,NA,Calais,1.856388889,50.94805556
Pietro Bizari,Sir Francis Walsingham,15841006,15841016,Antwerp,51.21666667,4.4,Paris,2.3508,48.8567
Chris. Wilson,Queen Elizabeth I,15950404,15950404,NA,NA,NA,Greenwich,-0,51.48
"Thomas Cranmer, Archbishop of Canterbury",Richard Croke,15300101,15301231,NA,NA,NA,NA,NA,NA
Ralph Lane,"Sir William Cecil, Lord Burghley",15940104,15940104,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
Francis Throgmorton,Jean de Tassis,15831203,15831203,NA,NA,NA,NA,NA,NA
Henry VIII,Simon Heynes,15410206,15410206,Hampton Court,51.40333333,-0.3375,NA,NA,NA
Robert Tyrwhyt,"Edward Seymour, Duke of Somerset, Lord Protector",15480125,15480125,NA,NA,NA,NA,NA,NA
Estates General,Queen Elizabeth I,16000321,16000331,NA,NA,NA,Greenwich,-0,51.48
Ralph Lane,"Sir William Cecil, Lord Burghley",15970411,15970411,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
"Thomas Jones, Bishop of Meath","Sir Robert Cecil, Earl of Salisbury",16010415,16010415,Dublin,53.34777778,-6.259722222,Greenwich,-0,51.48
Henry Goodere,Thomas Fanshawe,15580101,16031231,NA,NA,NA,NA,NA,NA
Thomas Middleton,"Sir Robert Cecil, Earl of Salisbury",15931003,15931003,Shenfield,51.6297,0.3192,Greenwich,-0,51.48
Sir William Browne,"Sir Robert Cecil, Earl of Salisbury",16010723,16010723,NA,NA,NA,Greenwich,-0,51.48
Sir Nicholas Parker,Privy Council,15990823,15990823,Pendennis Castle,50.14721944,-5.047769444,Greenwich,-0,51.48
Capt. M. Dennis,"Sir William Cecil, Lord Burghley",15901007,15901007,Utrecht,52.08333333,5.116666667,Court of St. James,-0.1375,51.50472222
Sir Amias Paulet,Queen Elizabeth I,15780526,15780526,Paris,48.8567,2.3508,Greenwich,-0,51.48
Sir William Browne,"Sir Robert Cecil, Earl of Salisbury",16000517,16000517,Flushing,51.45,3.566666667,Greenwich,-0,51.48
Geoffrey Fenton,"Sir William Cecil, Lord Burghley",15940702,15940702,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
John Cuerton,Sir Thomas Chaloner (Challoner),15630611,15630611,Bilbao,43.25694444,-2.923611111,Madrid,-3.716666667,40.38333333
University of Oxford,Sir Francis Walsingham,15860123,15860123,Oxford,51.75194444,-1.257777778,Paris,2.3508,48.8567
Stephen Vaughan,"William Paget, Lord Paget",15460831,15460831,Antwerp,51.21666667,4.4,Windsor,-0.6095,51.4791
"Thomas Howard, Duke of Norfolk","Thomas Cromwell, Earl of Essex",15370322,15370322,York,53.95833333,-1.080277778,Hampton Court,-0.3375,51.40333333
Sir Nicholas Throckmorton,"Sir William Cecil, Lord Burghley",15670701,15670701,London,51.5155,0.0922,Court of St. James,-0.1375,51.50472222
Queen Elizabeth I,"Margaret of Austria, Duchess of Parma",15640507,15640507,NA,NA,NA,NA,NA,NA
Henry Lok,"Sir Robert Cecil, Earl of Salisbury",15981020,15981020,NA,NA,NA,Greenwich,-0,51.48
William Day,"Sir Robert Cecil, Earl of Salisbury",15960322,15960322,NA,NA,NA,Greenwich,-0,51.48
Sir William Fitzwilliam,Privy Council,15730910,15730910,NA,NA,NA,Greenwich,-0,51.48
"Francis Russell, Earl of Bedford","Sir William Cecil, Lord Burghley",15640404,15640404,Berwick,55.771,-2.007,Court of St. James,-0.1375,51.50472222
Queen Elizabeth I,The Admiral Coligny,15720628,15720628,NA,NA,NA,Noyers,3.9947,47.6975
Queen Elizabeth I,Sir William Russell,15960525,15960525,Roscommon,53.6333,-8.1833,Camp at Tullagh,-6.7369,52.8003
Sir Henry Wallop,"Sir William Cecil, Lord Burghley",15910409,15910409,Winchester House,51.50683056,-0.090919444,Court of St. James,-0.1375,51.50472222
"Richard Cox, Bishop of Ely","Sir William Cecil, Lord Burghley",15691231,15691231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Margaret Tudor, Queen consort of Scotland","Thomas Howard,2nd Duke of Norfolk",15231019,15231019,NA,NA,NA,Newcastle-upon-Tyne,-1.608333333,54.97222222
Robert Bowes,Queen Elizabeth I,15970622,15970622,Edinburgh,55.95305556,-3.188888889,Greenwich,-0,51.48
"James Stewart, 1st Earl of Moray","Sir William Cecil, Lord Burghley",15591220,15591220,Kinghorn,56.07,-3.17,Court of St. James,-0.1375,51.50472222
William Davison,Sir Francis Walsingham,15790116,15790116,NA,NA,NA,Paris,2.3508,48.8567
Sir William Gerard,Colonel John Zouche,15800805,15800805,NA,NA,NA,NA,NA,NA
"William Grey, Baron Grey of Wilton",Privy Council,15600410,15600410,NA,NA,NA,Greenwich,-0,51.48
Queen Elizabeth I,King James VI,15860602,15860602,NA,NA,NA,Falkland Palace,-3.206388889,56.25388889
Mary Princess of Castile,Cardinal Thomas Wolsey,15141113,15141113,Paris,48.8567,2.3508,Westminster,-0.1333,51.4995
Antonio Perez,"Robert Devereux, Earl of Essex",15951125,15951205,NA,NA,NA,Cambridge,0.119,52.205
